,index,actuals,predicts_multitaskdnn_kim
0,291931.0,1.0,0.9173404574394226
1,227723.0,1.0,0.6184328198432922
2,119817.0,0.0,0.24581566452980042
3,156542.0,0.0,0.08874049782752991
4,163040.0,1.0,0.7539176940917969
5,131137.0,0.0,0.042633261531591415
6,309225.0,1.0,0.9828723073005676
7,65769.0,0.0,0.00491385068744421
8,74682.0,1.0,0.2830125391483307
9,129948.0,0.0,0.02489255741238594
10,90055.0,0.0,0.05595460534095764
11,249581.0,0.0,0.4728470742702484
12,29517.0,0.0,0.15642763674259186
13,277257.0,1.0,0.18692880868911743
14,127.0,0.0,0.07174664735794067
15,169178.0,0.0,0.20920467376708984
16,181996.0,0.0,0.06834284961223602
17,24712.0,0.0,0.2225901186466217
18,223963.0,0.0,0.11703944206237793
19,302944.0,1.0,0.5886714458465576
20,159560.0,0.0,0.2679462432861328
21,73994.0,1.0,0.23551063239574432
22,184318.0,0.0,0.12681657075881958
23,90841.0,0.0,0.07331319898366928
24,191308.0,0.0,0.5747733116149902
25,37842.0,0.0,0.26045623421669006
26,141936.0,0.0,0.1422363966703415
27,143073.0,1.0,0.49463173747062683
28,162016.0,1.0,0.320115327835083
29,57079.0,0.0,0.38318687677383423
30,164509.0,0.0,0.24942003190517426
31,152661.0,0.0,0.08162696659564972
32,33765.0,0.0,0.2565148174762726
33,108510.0,0.0,0.4419313371181488
34,163044.0,1.0,0.767570972442627
35,43456.0,1.0,0.33490484952926636
36,236869.0,1.0,0.2067011445760727
37,67565.0,0.0,0.08195122331380844
38,54244.0,1.0,0.5972263813018799
39,290370.0,1.0,0.8727914690971375
40,153186.0,0.0,0.09557998180389404
41,107194.0,1.0,0.20962218940258026
42,231541.0,0.0,0.403787225484848
43,65412.0,0.0,0.03340858966112137
44,10697.0,0.0,0.006246224045753479
45,243286.0,1.0,0.46213439106941223
46,194609.0,0.0,0.1070765033364296
47,72774.0,0.0,0.09114306420087814
48,146684.0,0.0,0.7117481827735901
49,51276.0,0.0,0.4062920808792114
50,208748.0,0.0,0.06147018447518349
51,150311.0,0.0,0.2814480662345886
52,214885.0,0.0,0.15581652522087097
53,5609.0,1.0,0.9615492820739746
54,182256.0,0.0,0.1513741910457611
55,72595.0,0.0,0.17468801140785217
56,250558.0,0.0,0.020646894350647926
57,152776.0,0.0,0.03839534521102905
58,193560.0,1.0,0.1297413557767868
59,46392.0,1.0,0.39296889305114746
60,258069.0,1.0,0.3193143308162689
61,217253.0,0.0,0.21704484522342682
62,200035.0,0.0,0.23601771891117096
63,201782.0,1.0,0.20476014912128448
64,223562.0,0.0,0.2336336225271225
65,126320.0,0.0,0.061750952154397964
66,126451.0,0.0,0.2359020709991455
67,169339.0,0.0,0.2649809718132019
68,141024.0,0.0,0.2625690996646881
69,295423.0,0.0,0.06968224793672562
70,163190.0,1.0,0.2967432737350464
71,217254.0,0.0,0.31911376118659973
