,index,actuals,predicts_matchmaker_brahim
0,291931.0,1.0,0.4860767126083374
1,227723.0,1.0,0.5114498138427734
2,119817.0,0.0,0.2004963755607605
3,156542.0,0.0,0.23261627554893494
4,163040.0,1.0,0.45838356018066406
5,131137.0,0.0,0.20160530507564545
6,309225.0,1.0,0.6494318842887878
7,65769.0,0.0,0.24390868842601776
8,74682.0,1.0,0.3794475793838501
9,129948.0,0.0,0.1256158947944641
10,90055.0,0.0,0.2673453986644745
11,249581.0,0.0,0.45457279682159424
12,29517.0,0.0,0.29602742195129395
13,277257.0,1.0,0.1836869716644287
14,127.0,0.0,0.2078896015882492
15,169178.0,0.0,0.21209171414375305
16,181996.0,0.0,0.1756359040737152
17,24712.0,0.0,0.20059801638126373
18,223963.0,0.0,0.26487115025520325
19,302944.0,1.0,0.2994164526462555
20,159560.0,0.0,0.22625583410263062
21,73994.0,1.0,0.2865596413612366
22,184318.0,0.0,0.392958402633667
23,90841.0,0.0,0.24325545132160187
24,191308.0,0.0,0.24665823578834534
25,37842.0,0.0,0.2727641463279724
26,141936.0,0.0,0.4409896731376648
27,143073.0,1.0,0.32825586199760437
28,162016.0,1.0,0.3260059952735901
29,57079.0,0.0,0.5009039044380188
30,164509.0,0.0,0.2572935223579407
31,152661.0,0.0,0.10873687267303467
32,33765.0,0.0,0.22399960458278656
33,108510.0,0.0,0.22600793838500977
34,163044.0,1.0,0.5202093124389648
35,43456.0,1.0,0.4314786195755005
36,236869.0,1.0,0.3136919438838959
37,67565.0,0.0,0.2237989753484726
38,54244.0,1.0,0.5291805267333984
39,290370.0,1.0,0.41001561284065247
40,153186.0,0.0,0.11069115996360779
41,107194.0,1.0,0.1600380539894104
42,231541.0,0.0,0.29067832231521606
43,65412.0,0.0,0.16571412980556488
44,10697.0,0.0,0.19779936969280243
45,243286.0,1.0,0.26939070224761963
46,194609.0,0.0,0.12771132588386536
47,72774.0,0.0,0.23685097694396973
48,146684.0,0.0,0.2874579429626465
49,51276.0,0.0,0.40859511494636536
50,208748.0,0.0,0.23671391606330872
51,150311.0,0.0,0.24752913415431976
52,214885.0,0.0,0.26136288046836853
53,5609.0,1.0,0.5319183468818665
54,182256.0,0.0,0.1830420047044754
55,72595.0,0.0,0.37619006633758545
56,250558.0,0.0,0.16225256025791168
57,152776.0,0.0,0.1225007176399231
58,193560.0,1.0,0.09939199686050415
59,46392.0,1.0,0.29614123702049255
60,258069.0,1.0,0.3163841962814331
61,217253.0,0.0,0.342478483915329
62,200035.0,0.0,0.2625618875026703
63,201782.0,1.0,0.2753213047981262
64,223562.0,0.0,0.3889358937740326
65,126320.0,0.0,0.18258962035179138
66,126451.0,0.0,0.238837331533432
67,169339.0,0.0,0.20464695990085602
68,141024.0,0.0,0.23385603725910187
69,295423.0,0.0,0.2564685642719269
70,163190.0,1.0,0.5056276321411133
71,217254.0,0.0,0.2666246294975281
72,274761.0,0.0,0.18607041239738464
73,51743.0,1.0,0.5980422496795654
74,5558.0,1.0,0.5026090145111084
75,69973.0,0.0,0.2638959288597107
76,265073.0,0.0,0.19801463186740875
77,25584.0,0.0,0.18309417366981506
78,266986.0,0.0,0.15906783938407898
79,201227.0,1.0,0.21117833256721497
80,173244.0,0.0,0.20515480637550354
81,236165.0,0.0,0.3754940629005432
82,270200.0,1.0,0.2564736008644104
83,202670.0,0.0,0.2691003382205963
84,319575.0,0.0,0.31827396154403687
85,214654.0,1.0,0.44244715571403503
86,142503.0,0.0,0.27016791701316833
87,56078.0,0.0,0.24511194229125977
88,168960.0,1.0,0.23963488638401031
89,55332.0,0.0,0.3245373070240021
90,208519.0,0.0,0.22089537978172302
91,224168.0,0.0,0.27302882075309753
92,252929.0,0.0,0.2582317888736725
93,198979.0,1.0,0.20039372146129608
94,321685.0,1.0,0.7266412377357483
95,3202.0,0.0,0.20723284780979156
96,219070.0,0.0,0.24400931596755981
97,203512.0,0.0,0.22834955155849457
98,308650.0,1.0,0.5909038186073303
99,35592.0,1.0,0.1568448841571808
100,301362.0,0.0,0.2055525928735733
101,231687.0,0.0,0.2357700765132904
102,154719.0,0.0,0.15023881196975708
103,67205.0,1.0,0.22357673943042755
104,148785.0,0.0,0.22464776039123535
105,185780.0,0.0,0.2800624668598175
106,217744.0,0.0,0.29927101731300354
107,82641.0,0.0,0.2665899991989136
108,1786.0,0.0,0.13182717561721802
109,301706.0,0.0,0.31633463501930237
110,269508.0,0.0,0.21515606343746185
111,310126.0,1.0,0.42663025856018066
112,10112.0,0.0,0.28261587023735046
113,28801.0,0.0,0.33101263642311096
114,520.0,1.0,0.3537479341030121
115,168660.0,1.0,0.2243310660123825
116,243177.0,0.0,0.22886303067207336
117,238257.0,1.0,0.5767850279808044
118,204884.0,0.0,0.4652080237865448
119,274557.0,0.0,0.23650483787059784
120,156950.0,0.0,0.18744397163391113
121,61731.0,1.0,0.20182371139526367
122,143516.0,0.0,0.17177757620811462
123,74321.0,0.0,0.36016494035720825
124,140416.0,0.0,0.36130762100219727
125,266924.0,0.0,0.1526155173778534
126,60079.0,0.0,0.21665553748607635
127,286722.0,0.0,0.2676023244857788
128,271759.0,0.0,0.2630319893360138
129,144432.0,1.0,0.27048373222351074
130,60321.0,0.0,0.2321930229663849
131,231660.0,0.0,0.35682326555252075
132,88694.0,1.0,0.2704547643661499
133,122868.0,0.0,0.24630753695964813
134,195935.0,0.0,0.158016175031662
135,263035.0,1.0,0.2082168310880661
136,177939.0,1.0,0.20398053526878357
137,210123.0,0.0,0.29256588220596313
138,269239.0,0.0,0.17783606052398682
139,29211.0,0.0,0.2306116670370102
140,26013.0,0.0,0.3491213917732239
141,145226.0,1.0,0.257775217294693
142,74341.0,0.0,0.48088303208351135
143,5597.0,1.0,0.5641502737998962
144,152581.0,0.0,0.16977690160274506
145,275382.0,0.0,0.19707126915454865
146,69430.0,1.0,0.2819816768169403
147,154714.0,1.0,0.13747330009937286
148,297125.0,1.0,0.512961745262146
149,8131.0,0.0,0.18731263279914856
150,226908.0,0.0,0.5291805267333984
151,219533.0,0.0,0.3119586110115051
152,265911.0,1.0,0.3534145951271057
153,42596.0,0.0,0.32488512992858887
154,57317.0,0.0,0.4382411241531372
155,241220.0,0.0,0.48890888690948486
156,107170.0,0.0,0.2241203337907791
157,140093.0,0.0,0.2858581840991974
158,286452.0,1.0,0.25879988074302673
159,228737.0,1.0,0.3737856149673462
160,65707.0,1.0,0.25051724910736084
